"Demographics","Subgroup","Total Cases","Year","Democratic Candidate","Republican Candidate","Both Candidates","Net Pro Dem. - Pro Rep."
"All","All","1311","1968","61.7","66.5","64","47.6"
"All","All","2639","1972","49.1","66","57.4","41.6"
"All","All","2176","1976","63.1","60.6","61.8","51.3"
"All","All","1545","1980","56.6","56.1","56.2","50.1"
"All","All","2217","1984","57.4","61.2","59.2","48.1"
"All","All","1983","1988","56.8","60.6","58.6","48.1"
"All","All","2463","1992","56.1","52.5","54.2","51.9"
"All","All","1707","1996","59.7","52","55.8","53.8"
"All","All","1788","2000","57.3","56.6","56.9","50.3"
"All","All","1207","2004","52.9","55.5","54.1","48.8"
"All","All","2305","2008","57.9","51.8","54.8","53"
"All","All","2049","2012","57.3","48.5","52.9","54.4"
"All","All","4253","2016","42.2","36.6","39.3","52.7"
"All","All","8158","2020","48.1","41.3","44.5","53.4"
"All","All","5511","2024","46.7","41.2","43.8","52.7"
"pid","Democrats (incl. leaners)","721","1968","71.7","58.7","65.1","56.6"
"pid","Democrats (incl. leaners)","1353","1972","59.8","55.7","57.6","52.1"
"pid","Democrats (incl. leaners)","1108","1976","74","51.3","62.7","61.4"
"pid","Democrats (incl. leaners)","800","1980","68.3","46.3","57.2","61"
"pid","Democrats (incl. leaners)","1057","1984","71.6","44.1","57.7","63.8"
"pid","Democrats (incl. leaners)","932","1988","70.7","45.4","58","62.8"
"pid","Democrats (incl. leaners)","1219","1992","69.3","40.1","54.5","64.8"
"pid","Democrats (incl. leaners)","890","1996","76.2","41.7","58.9","67.2"
"pid","Democrats (incl. leaners)","882","2000","70.6","44.8","57.6","62.9"
"pid","Democrats (incl. leaners)","590","2004","69","34.9","51.8","67.2"
"pid","Democrats (incl. leaners)","1361","2008","73","38.7","55.8","67.1"
"pid","Democrats (incl. leaners)","1248","2012","79.3","30.4","55","74.5"
"pid","Democrats (incl. leaners)","1932","2016","66.6","14.5","40.4","76"
"pid","Democrats (incl. leaners)","3793","2020","74.1","9.6","41.7","82.1"
"pid","Democrats (incl. leaners)","2640","2024","76.1","10.7","43.3","82.7"
"pid","Independents","133","1968","55.2","64.6","60","45.4"
"pid","Independents","377","1972","47.9","65","56.3","41.6"
"pid","Independents","313","1976","59.5","62.7","61","48.5"
"pid","Independents","226","1980","51.5","55.6","53.3","47.7"
"pid","Independents","264","1984","54","64","58.9","44.9"
"pid","Independents","218","1988","53.4","59.4","56.4","47.1"
"pid","Independents","309","1992","52.2","48.9","50.3","51.9"
"pid","Independents","157","1996","56","49.7","53","53.3"
"pid","Independents","214","2000","51.7","56.3","54.3","47.6"
"pid","Independents","118","2004","50.7","51.5","50.3","50.4"
"pid","Independents","256","2008","56.6","52.4","54.5","52.1"
"pid","Independents","215","2012","54.3","46.6","50.6","54"
"pid","Independents","575","2016","34.9","35","35","49.8"
"pid","Independents","942","2020","44.5","35.6","39.8","54.4"
"pid","Independents","380","2024","37.8","40.2","39.1","48.7"
"pid","Republicans (incl. leaners)","444","1968","47.3","80","63.6","33.6"
"pid","Republicans (incl. leaners)","903","1972","33.2","81.9","57.4","25.7"
"pid","Republicans (incl. leaners)","733","1976","47.7","74","60.7","37"
"pid","Republicans (incl. leaners)","517","1980","40.6","71.4","55.9","34.6"
"pid","Republicans (incl. leaners)","877","1984","41.4","80.9","61.2","30.3"
"pid","Republicans (incl. leaners)","820","1988","41.8","78","59.8","31.8"
"pid","Republicans (incl. leaners)","925","1992","40.1","69.9","55","35.1"
"pid","Republicans (incl. leaners)","654","1996","38.3","66.3","52.3","36"
"pid","Republicans (incl. leaners)","678","2000","40.8","72.5","56.7","34.2"
"pid","Republicans (incl. leaners)","482","2004","34.1","81.2","57.6","26.5"
"pid","Republicans (incl. leaners)","652","2008","37.2","69.8","53.5","33.7"
"pid","Republicans (incl. leaners)","567","2012","32.2","69.9","51","31.2"
"pid","Republicans (incl. leaners)","1727","2016","16.6","62.7","39.6","27"
"pid","Republicans (incl. leaners)","3403","2020","20.2","77.6","48.9","21.4"
"pid","Republicans (incl. leaners)","2457","2024","16.3","74.2","45.2","21"
"gender","Men","574","1968","58.1","65.8","62","46.2"
"gender","Men","1151","1972","47.1","65.9","56.3","40.8"
"gender","Men","924","1976","61.6","59.8","60.5","51"
"gender","Men","663","1980","53.9","56.9","55.3","48.5"
"gender","Men","976","1984","54.9","62.5","58.6","46.2"
"gender","Men","860","1988","54.7","61.9","58.2","46.4"
"gender","Men","1150","1992","54.3","52.4","53.3","51"
"gender","Men","766","1996","55.8","54.2","54.8","50.7"
"gender","Men","786","2000","54.6","57.3","55.9","48.7"
"gender","Men","565","2004","50.8","56.9","53.8","47"
"gender","Men","993","2008","56.3","52.7","54.5","51.8"
"gender","Men","883","2012","56.3","49.9","53.1","53.1"
"gender","Men","1981","2016","39.1","39.7","39.3","49.7"
"gender","Men","3718","2020","45.1","44.4","44.6","50.4"
"gender","Men","2541","2024","42.8","44.9","43.8","49"
"gender","Women","737","1968","64.5","67","65.7","48.8"
"gender","Women","1488","1972","50.6","66.1","58.2","42.3"
"gender","Women","1252","1976","64.3","61.3","62.8","51.5"
"gender","Women","882","1980","58.6","55.5","56.9","51.4"
"gender","Women","1241","1984","59.4","60.2","59.7","49.7"
"gender","Women","1123","1988","58.3","59.6","58.9","49.4"
"gender","Women","1313","1992","57.7","52.6","55","52.7"
"gender","Women","941","1996","62.9","50.2","56.6","56.4"
"gender","Women","1002","2000","59.4","56.1","57.6","51.6"
"gender","Women","642","2004","55","54.1","54.4","50.6"
"gender","Women","1312","2008","59.2","51.1","55","54"
"gender","Women","1166","2012","58.2","47.1","52.7","55.6"
"gender","Women","2220","2016","45","33.9","39.4","55.4"
"gender","Women","4380","2020","50.8","38.5","44.5","56.2"
"gender","Women","2924","2024","50.4","37.6","43.9","56.4"
"education","Non-college","1131","1968","62.4","66.4","64.4","48"
"education","Non-college","2283","1972","49.2","66.5","57.7","41.4"
"education","Non-college","1829","1976","64.7","60.2","62.4","52.3"
"education","Non-college","1292","1980","57.8","56.6","57","50.5"
"education","Non-college","1833","1984","58.1","61.1","59.5","48.6"
"education","Non-college","1554","1988","56.9","60","58.4","48.5"
"education","Non-college","1830","1992","57.6","52.6","54.9","52.6"
"education","Non-college","1234","1996","61.3","51.1","56.2","55.1"
"education","Non-college","1230","2000","57.6","56.4","56.9","50.5"
"education","Non-college","847","2004","53.6","56.7","55","48.5"
"education","Non-college","1799","2008","58","50.8","54.3","53.6"
"education","Non-college","1545","2012","58.7","47.5","53.1","55.6"
"education","Non-college","2583","2016","40.7","39.7","40.1","50.4"
"education","Non-college","4418","2020","45.3","46","45.5","49.6"
"education","Non-college","2985","2024","41.8","47.9","44.8","46.9"
"education","College grad+","178","1968","57.7","66.4","62","45.6"
"education","College grad+","353","1972","48.7","62.3","55.4","43.2"
"education","College grad+","339","1976","54.2","63","58.5","45.7"
"education","College grad+","249","1980","50.3","53.6","51.9","48.3"
"education","College grad+","373","1984","53.9","61.8","57.9","46.1"
"education","College grad+","394","1988","55.7","62.7","59.2","46.5"
"education","College grad+","568","1992","51.7","51.6","51.6","50"
"education","College grad+","470","1996","53.9","55.4","54.6","49.2"
"education","College grad+","554","2000","56.3","57.1","56.6","49.5"
"education","College grad+","360","2004","51.1","51.9","51.5","49.6"
"education","College grad+","492","2008","57.4","54.5","55.9","51.5"
"education","College grad+","488","2012","54","50.6","52.2","51.6"
"education","College grad+","1633","2016","45.6","30","37.8","57.8"
"education","College grad+","3620","2020","52.8","33.3","42.9","59.7"
"education","College grad+","2471","2024","55.9","28.4","42.1","63.7"
"race","White, non-Hispanic","1166","1968","58.9","67.7","63.3","45.6"
"race","White, non-Hispanic","2324","1972","45.8","68","56.7","39"
"race","White, non-Hispanic","1894","1976","60.8","62.6","61.6","49.2"
"race","White, non-Hispanic","1304","1980","54","57.6","55.7","48.1"
"race","White, non-Hispanic","1783","1984","54.2","64.4","59.3","45"
"race","White, non-Hispanic","1507","1988","53.1","63.3","58.2","44.9"
"race","White, non-Hispanic","1882","1992","53.2","53.9","53.5","49.7"
"race","White, non-Hispanic","1320","1996","54.8","52.9","53.9","51"
"race","White, non-Hispanic","1337","2000","54.7","58.1","56.3","48.2"
"race","White, non-Hispanic","847","2004","49.1","58.6","53.8","45.3"
"race","White, non-Hispanic","1132","2008","51.9","54.9","53.3","48.5"
"race","White, non-Hispanic","918","2012","49.3","53.5","51.4","47.9"
"race","White, non-Hispanic","3031","2016","34.5","43.6","39","45.4"
"race","White, non-Hispanic","5901","2020","41.2","48.9","44.9","46.2"
"race","White, non-Hispanic","3941","2024","40.6","45.6","43","47.5"
"race","Black, non-Hispanic","130","1968","86","54.8","70.5","65.7"
"race","Black, non-Hispanic","257","1972","77","49.4","63.1","63.9"
"race","Black, non-Hispanic","210","1976","81.5","47","63.9","67.4"
"race","Black, non-Hispanic","162","1980","76.9","41.6","59.4","67.8"
"race","Black, non-Hispanic","237","1984","77.1","38.2","57.2","69.7"
"race","Black, non-Hispanic","247","1988","69.2","45.9","57.3","61.7"
"race","Black, non-Hispanic","304","1992","69","40.3","54.4","64.8"
"race","Black, non-Hispanic","189","1996","81.1","47.4","64.2","66.8"
"race","Black, non-Hispanic","197","2000","70","49","59.3","60.4"
"race","Black, non-Hispanic","175","2004","67.5","40.6","53.9","63.6"
"race","Black, non-Hispanic","557","2008","84.4","36.9","60.9","73.8"
"race","Black, non-Hispanic","513","2012","89.1","29.8","59.5","79.6"
"race","Black, non-Hispanic","393","2016","73","13.7","43.1","79.6"
"race","Black, non-Hispanic","707","2020","75.2","15.1","45","80"
"race","Black, non-Hispanic","506","2024","73.9","21.4","47.6","76.2"
"race","Hispanic","12","1968","NA","NA","NA","NA"
"race","Hispanic","39","1972","NA","NA","NA","NA"
"race","Hispanic","42","1976","NA","NA","NA","NA"
"race","Hispanic","63","1980","59.2","60.6","59.9","49.2"
"race","Hispanic","147","1984","65.5","58.2","61.8","53.7"
"race","Hispanic","161","1988","68.8","59.1","63.8","54.8"
"race","Hispanic","216","1992","63.3","56.2","59.6","53.8"
"race","Hispanic","147","1996","70.9","48.6","60","61.4"
"race","Hispanic","138","2000","61.3","54.6","57.9","53.4"
"race","Hispanic","112","2004","57.6","58","57.5","50"
"race","Hispanic","517","2008","66.7","49.5","58.1","58.6"
"race","Hispanic","473","2012","69.9","39.8","55.1","65.2"
"race","Hispanic","449","2016","57.2","21.3","39.2","67.9"
"race","Hispanic","747","2020","55.5","31.1","43.1","62.1"
"race","Hispanic","581","2024","52.4","37.4","44.7","57.7"
"race","Other/Multiple races, non-Hispanic","3","1968","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","19","1972","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","13","1976","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","16","1980","NA","NA","NA","NA"
"race","Other/Multiple races, non-Hispanic","43","1984","59.3","63.7","61.6","47.8"
"race","Other/Multiple races, non-Hispanic","55","1988","64","55.9","59.9","54.2"
"race","Other/Multiple races, non-Hispanic","52","1992","59.4","56.5","57.7","51.8"
"race","Other/Multiple races, non-Hispanic","40","1996","58.9","61.4","59","47.8"
"race","Other/Multiple races, non-Hispanic","100","2000","58.2","57.2","57.7","50.5"
"race","Other/Multiple races, non-Hispanic","53","2004","51.5","57.8","54.6","46.9"
"race","Other/Multiple races, non-Hispanic","76","2008","64.5","46.6","55.5","59"
"race","Other/Multiple races, non-Hispanic","141","2012","64.5","42.3","53.3","61"
"race","Other/Multiple races, non-Hispanic","348","2016","45.1","30.5","37.8","57.3"
"race","Other/Multiple races, non-Hispanic","712","2020","53.1","34.3","43.5","59.1"
"race","Other/Multiple races, non-Hispanic","417","2024","46.9","40","43.4","53.5"
"age","18-29","250","1968","57.9","64.5","61.2","46.7"
"age","18-29","737","1972","52.5","61.8","57.1","45.4"
"age","18-29","575","1976","63.6","57.8","60.6","53"
"age","18-29","419","1980","54.5","53.2","53.8","50.7"
"age","18-29","551","1984","56","58.2","57","49"
"age","18-29","447","1988","56.2","60.9","58.6","47.6"
"age","18-29","485","1992","54.9","52.5","53.7","51.2"
"age","18-29","255","1996","60.9","49.9","55.7","55.8"
"age","18-29","279","2000","57.4","54.3","55.8","51.5"
"age","18-29","239","2004","57.4","44.9","51","56.3"
"age","18-29","409","2008","63.8","47.8","55.8","58"
"age","18-29","446","2012","62.8","44.8","53.9","59.1"
"age","18-29","648","2016","39.2","32.4","35.8","53.3"
"age","18-29","996","2020","46.9","31.4","39.1","57.8"
"age","18-29","549","2024","45.3","40","42.5","52.6"
"age","30-44","401","1968","63.8","64.6","64.2","49.6"
"age","30-44","672","1972","47.6","65.2","56.4","41.2"
"age","30-44","549","1976","62.6","61.2","62","50.6"
"age","30-44","435","1980","54","56","54.9","48.9"
"age","30-44","709","1984","55.3","62.8","59.1","46.2"
"age","30-44","704","1988","54","60.2","57.1","46.9"
"age","30-44","861","1992","54.7","51.9","53.2","51.5"
"age","30-44","612","1996","57","51.4","54.1","52.8"
"age","30-44","603","2000","54.4","58.3","56.3","48"
"age","30-44","308","2004","49.4","57.9","53.7","45.7"
"age","30-44","623","2008","59.3","50.2","54.8","54.6"
"age","30-44","576","2012","60.1","44.2","52.1","58"
"age","30-44","1038","2016","46.8","30.4","38.5","58.1"
"age","30-44","2001","2020","47.4","38.7","42.9","54.4"
"age","30-44","1316","2024","44.9","41.5","43.1","51.7"
"age","45-59","356","1968","61.3","67.1","64.2","47.2"
"age","45-59","624","1972","47.8","67.5","57.4","40.3"
"age","45-59","495","1976","63.9","60.3","61.9","51.8"
"age","45-59","320","1980","55.4","58.2","56.8","48.6"
"age","45-59","414","1984","59.7","61.9","60.7","49"
"age","45-59","363","1988","58.8","61.1","59.9","48.8"
"age","45-59","510","1992","56.2","52.2","54.1","52.2"
"age","45-59","392","1996","60.2","53.8","56.9","53"
"age","45-59","491","2000","57","56","56.5","50.6"
"age","45-59","352","2004","51.5","58.6","54.8","46.6"
"age","45-59","668","2008","55.5","52.4","53.9","51.5"
"age","45-59","532","2012","56.5","49.2","52.8","53.6"
"age","45-59","1116","2016","41.7","38.9","40.2","51.3"
"age","45-59","1887","2020","46.5","46.5","46.3","49.8"
"age","45-59","1199","2024","46.8","41.2","43.9","52.9"
"age","60+","300","1968","62.7","69.9","66.2","46.5"
"age","60+","592","1972","47.5","70.6","58.8","38.5"
"age","60+","545","1976","62.5","63.9","63.1","49.5"
"age","60+","369","1980","63","57.7","60.1","52.4"
"age","60+","525","1984","60.1","62.3","61","49"
"age","60+","467","1988","60","60.5","59.9","49.9"
"age","60+","607","1992","59","53.6","56.1","52.8"
"age","60+","447","1996","62","53.3","57.5","54.1"
"age","60+","407","2000","61.8","57.3","59.2","52"
"age","60+","308","2004","54.8","58.2","56.5","48.3"
"age","60+","560","2008","54.8","55.9","55.2","49.4"
"age","60+","436","2012","50.9","54.9","52.8","48"
"age","60+","1332","2016","41.8","42.5","42.1","49.6"
"age","60+","2943","2020","50.8","44.5","47.4","53.3"
"age","60+","2170","2024","49.6","40.8","45.1","54.4"
"region","South","326","1968","57.5","65.3","61.4","46.2"
"region","South","681","1972","47.1","68.7","57.6","39.4"
"region","South","546","1976","67.5","59.9","63.5","53.8"
"region","South","431","1980","61.5","58.2","59.6","51.4"
"region","South","627","1984","60","62","60.7","49"
"region","South","617","1988","58","62.9","60.3","47.6"
"region","South","770","1992","58.5","55.7","56.9","51.6"
"region","South","589","1996","62.6","54","58.1","54.1"
"region","South","579","2000","55.8","61","58.1","47.3"
"region","South","379","2004","52.1","60.7","56.3","45.7"
"region","South","1019","2008","53.7","56.4","55","48.6"
"region","South","758","2012","57.1","49.9","53.5","53.6"
"region","South","1342","2016","41.2","41.1","41.1","49.9"
"region","South","2497","2020","46.2","46.1","46","50.1"
"region","South","1761","2024","43","46.4","44.6","48.3"
"region","Nonsouth","985","1968","63.1","66.8","64.9","48.1"
"region","Nonsouth","1958","1972","49.8","65","57.3","42.4"
"region","Nonsouth","1630","1976","61.7","60.9","61.2","50.5"
"region","Nonsouth","1114","1980","54.7","55.3","54.9","49.6"
"region","Nonsouth","1590","1984","56.5","60.9","58.7","47.8"
"region","Nonsouth","1366","1988","56.2","59.5","57.9","48.3"
"region","Nonsouth","1693","1992","55.1","51","53","52.1"
"region","Nonsouth","1118","1996","58.1","50.9","54.5","53.6"
"region","Nonsouth","1209","2000","58","54.7","56.3","51.6"
"region","Nonsouth","828","2004","53.3","53.1","53.1","50.2"
"region","Nonsouth","1286","2008","60.8","48.6","54.6","56.1"
"region","Nonsouth","1291","2012","57.4","47.8","52.6","54.8"
"region","Nonsouth","2911","2016","42.6","34.6","38.5","53.9"
"region","Nonsouth","5661","2020","48.9","39.1","43.9","54.9"
"region","Nonsouth","3750","2024","48.5","38.6","43.5","55"
"knowledge","Less knowledgeable","384","1968","64.9","64.2","64.4","50.4"
"knowledge","Less knowledgeable","385","1972","51.7","64.8","57.9","43.6"
"knowledge","Less knowledgeable","683","1976","65.9","61.1","63.4","52.5"
"knowledge","Less knowledgeable","378","1980","62.4","55.7","58.9","53.2"
"knowledge","Less knowledgeable","841","1984","60","60.1","59.9","50"
"knowledge","Less knowledgeable","687","1988","58.2","58.7","58.4","49.8"
"knowledge","Less knowledgeable","901","1992","59.3","52.7","55.7","53.6"
"knowledge","Less knowledgeable","380","1996","63.2","51.9","57.5","55.6"
"knowledge","Less knowledgeable","693","2000","58.4","56.4","57.4","51"
"knowledge","Less knowledgeable","466","2004","52.6","59.1","55.6","47"
"knowledge","Less knowledgeable","1299","2008","59.3","48.8","54","55.3"
"knowledge","Less knowledgeable","301","2012","51.4","55","53.2","48.2"
"knowledge","Less knowledgeable","1087","2016","41.6","39.4","40.4","50.8"
"knowledge","Less knowledgeable","2474","2020","49.6","38.5","43.9","55.6"
"knowledge","Less knowledgeable","1801","2024","40.6","46.8","43.6","47"
"knowledge","More knowledgeable","923","1968","60.4","67.4","63.9","46.5"
"knowledge","More knowledgeable","701","1972","46.8","67.1","56.9","39.9"
"knowledge","More knowledgeable","1166","1976","60.4","61.7","61","49.4"
"knowledge","More knowledgeable","967","1980","53.9","56.8","55.3","48.5"
"knowledge","More knowledgeable","1071","1984","54.7","63.1","58.8","45.8"
"knowledge","More knowledgeable","1044","1988","55.4","61.9","58.7","46.7"
"knowledge","More knowledgeable","1334","1992","54.2","52.4","53.3","50.9"
"knowledge","More knowledgeable","1148","1996","58.3","52.8","55.5","52.7"
"knowledge","More knowledgeable","847","2000","55","57.2","56","48.8"
"knowledge","More knowledgeable","597","2004","52.2","53.4","52.8","49.4"
"knowledge","More knowledgeable","782","2008","55.2","56.4","55.8","49.4"
"knowledge","More knowledgeable","927","2012","57.3","48.2","52.7","54.5"
"knowledge","More knowledgeable","2990","2016","42.4","35.4","38.8","53.5"
"knowledge","More knowledgeable","5478","2020","47.3","42.6","44.8","52.3"
"knowledge","More knowledgeable","3329","2024","51.3","36.6","43.9","57.3"
"pid and gender","Male Democrats","309","1968","69.1","58.9","64","55.2"
"pid and gender","Male Democrats","557","1972","58.2","56","57","51.1"
"pid and gender","Male Democrats","452","1976","73.1","50.8","61.8","61.2"
"pid and gender","Male Democrats","322","1980","66.7","46.5","56.5","60.1"
"pid and gender","Male Democrats","442","1984","69.1","45.3","57","61.9"
"pid and gender","Male Democrats","367","1988","70.9","44.5","57.6","63.3"
"pid and gender","Male Democrats","513","1992","69","38.7","53.7","65.3"
"pid and gender","Male Democrats","347","1996","74.6","43","58.7","65.6"
"pid and gender","Male Democrats","350","2000","70.3","44.2","57.1","63.1"
"pid and gender","Male Democrats","249","2004","67.4","37.1","52","65.3"
"pid and gender","Male Democrats","546","2008","71.6","39.7","55.7","66"
"pid and gender","Male Democrats","512","2012","78.9","33","56","73"
"pid and gender","Male Democrats","804","2016","64.5","16.7","40.4","73.8"
"pid and gender","Male Democrats","1531","2020","72.9","10.4","41.6","81.2"
"pid and gender","Male Democrats","1078","2024","74.1","12.8","43.4","80.6"
"pid and gender","Female Democrats","412","1968","73.6","58.5","66","57.7"
"pid and gender","Female Democrats","796","1972","61","55.4","58.1","52.9"
"pid and gender","Female Democrats","656","1976","74.7","51.8","63.3","61.5"
"pid and gender","Female Democrats","478","1980","69.5","46.2","57.7","61.6"
"pid and gender","Female Democrats","615","1984","73.5","43.2","58.2","65.2"
"pid and gender","Female Democrats","565","1988","70.6","46.1","58.2","62.5"
"pid and gender","Female Democrats","706","1992","69.4","41.1","55","64.4"
"pid and gender","Female Democrats","543","1996","77.2","40.8","59.1","68.3"
"pid and gender","Female Democrats","532","2000","70.9","45.2","57.9","62.8"
"pid and gender","Female Democrats","341","2004","70.4","33.1","51.6","68.7"
"pid and gender","Female Democrats","815","2008","73.9","38","56","67.9"
"pid and gender","Female Democrats","736","2012","79.7","28.2","54","75.8"
"pid and gender","Female Democrats","1099","2016","68.3","12.8","40.5","77.6"
"pid and gender","Female Democrats","2242","2020","75","9","41.8","82.8"
"pid and gender","Female Democrats","1545","2024","77.8","8.9","43.2","84.4"
"pid and gender","Male Independents","54","1968","53.4","60.4","57.1","46.7"
"pid and gender","Male Independents","181","1972","47.2","64.1","55.6","41.6"
"pid and gender","Male Independents","151","1976","57.7","63.4","60.1","47.4"
"pid and gender","Male Independents","106","1980","46.1","58.1","52.1","44"
"pid and gender","Male Independents","118","1984","54.9","64.8","59.5","45"
"pid and gender","Male Independents","101","1988","50","59.7","54.8","45.2"
"pid and gender","Male Independents","154","1992","50.8","47","48.6","52.1"
"pid and gender","Male Independents","73","1996","57.4","49.8","53.6","53.8"
"pid and gender","Male Independents","94","2000","48.7","57.2","53.2","46.1"
"pid and gender","Male Independents","60","2004","49.5","50.8","49.9","49.6"
"pid and gender","Male Independents","122","2008","57.5","48.8","53.3","54.5"
"pid and gender","Male Independents","95","2012","53.8","49.5","51.5","52.1"
"pid and gender","Male Independents","272","2016","34","37","35.5","48.4"
"pid and gender","Male Independents","440","2020","44","36","39.6","54.2"
"pid and gender","Male Independents","174","2024","36.8","37.8","37.2","49.7"
"pid and gender","Female Independents","79","1968","56.3","67.5","61.9","44.5"
"pid and gender","Female Independents","196","1972","48.6","65.8","57","41.5"
"pid and gender","Female Independents","162","1976","61.2","62.1","61.9","49.5"
"pid and gender","Female Independents","120","1980","56.2","53.2","54.4","51.1"
"pid and gender","Female Independents","146","1984","53.4","63.4","58.5","44.8"
"pid and gender","Female Independents","117","1988","56.5","59.1","57.8","48.7"
"pid and gender","Female Independents","155","1992","53.7","50.8","51.9","51.8"
"pid and gender","Female Independents","84","1996","54.9","49.7","52.5","52.8"
"pid and gender","Female Independents","120","2000","54.4","55.5","55.3","49"
"pid and gender","Female Independents","58","2004","52","52.3","50.7","51.3"
"pid and gender","Female Independents","134","2008","55.6","56.5","55.9","49.4"
"pid and gender","Female Independents","120","2012","54.7","44.2","49.9","55.6"
"pid and gender","Female Independents","295","2016","36","33.1","34.5","51.3"
"pid and gender","Female Independents","484","2020","44.8","35.3","40.1","54.5"
"pid and gender","Female Independents","201","2024","38.7","42.1","40.8","47.9"
"pid and gender","Male Republicans","209","1968","43.1","77.2","60.1","32.9"
"pid and gender","Male Republicans","410","1972","31.6","80","55.6","26"
"pid and gender","Male Republicans","309","1976","45.7","71.5","58.6","37.2"
"pid and gender","Male Republicans","234","1980","40","70.6","55.3","34.7"
"pid and gender","Male Republicans","407","1984","39.5","80.5","60.1","29.5"
"pid and gender","Male Republicans","388","1988","40.6","78.8","59.7","30.8"
"pid and gender","Male Republicans","483","1992","39.9","68.5","54.3","35.7"
"pid and gender","Male Republicans","344","1996","36.8","65.9","51.2","35.4"
"pid and gender","Male Republicans","335","2000","38.6","71.7","55.2","33.5"
"pid and gender","Male Republicans","248","2004","33.9","78.9","56.4","27.5"
"pid and gender","Male Republicans","317","2008","37.8","69.2","53.5","34.3"
"pid and gender","Male Republicans","273","2012","31.9","68.5","50.1","31.7"
"pid and gender","Male Republicans","901","2016","16.2","63.4","39.7","26.4"
"pid and gender","Male Republicans","1742","2020","19.9","77.5","48.6","21.2"
"pid and gender","Male Republicans","1281","2024","15.7","74.5","45","20.6"
"pid and gender","Female Republicans","235","1968","51.1","82.5","66.8","34.2"
"pid and gender","Female Republicans","493","1972","34.4","83.5","58.9","25.4"
"pid and gender","Female Republicans","424","1976","49.2","75.7","62.3","36.8"
"pid and gender","Female Republicans","283","1980","41.1","72.1","56.5","34.5"
"pid and gender","Female Republicans","470","1984","43","81.2","62.1","31"
"pid and gender","Female Republicans","432","1988","42.8","77.3","60","32.7"
"pid and gender","Female Republicans","442","1992","40.3","71.4","55.9","34.4"
"pid and gender","Female Republicans","310","1996","40.1","66.8","53.5","36.8"
"pid and gender","Female Republicans","343","2000","42.9","73.2","58","34.8"
"pid and gender","Female Republicans","234","2004","34.3","83.9","59","25.2"
"pid and gender","Female Republicans","335","2008","36.7","70.4","53.5","33.2"
"pid and gender","Female Republicans","294","2012","32.6","71.3","51.9","30.7"
"pid and gender","Female Republicans","812","2016","17.1","62.1","39.6","27.5"
"pid and gender","Female Republicans","1645","2020","20.7","77.8","49.2","21.5"
"pid and gender","Female Republicans","1157","2024","16.7","74.1","45.4","21.4"
"pid and education","Non-college Democrats","650","1968","71.8","59","65.3","56.5"
"pid and education","Non-college Democrats","1199","1972","59.1","57.2","58","51"
"pid and education","Non-college Democrats","966","1976","75","51.6","63.2","61.7"
"pid and education","Non-college Democrats","681","1980","69.6","47.6","58.5","60.9"
"pid and education","Non-college Democrats","889","1984","71.9","45.3","58.5","63.4"
"pid and education","Non-college Democrats","749","1988","69.8","46","57.8","62.1"
"pid and education","Non-college Democrats","944","1992","69.5","42","55.5","64"
"pid and education","Non-college Democrats","670","1996","76.4","41.4","59","67.5"
"pid and education","Non-college Democrats","637","2000","70.1","46","57.9","62"
"pid and education","Non-college Democrats","409","2004","68.9","38.5","53.5","65.3"
"pid and education","Non-college Democrats","1079","2008","71.3","39.1","55.2","66.1"
"pid and education","Non-college Democrats","963","2012","79.2","31.1","55.3","74.1"
"pid and education","Non-college Democrats","1107","2016","64.9","18","41.4","73.3"
"pid and education","Non-college Democrats","1794","2020","73.3","12.7","42.8","80.3"
"pid and education","Non-college Democrats","1207","2024","74.7","14.4","44.5","80.1"
"pid and education","College grad+ Democrats","71","1968","71.1","55.8","63.4","57.6"
"pid and education","College grad+ Democrats","153","1972","65.8","43.9","54.8","60.9"
"pid and education","College grad+ Democrats","135","1976","67","49.6","58.2","58.8"
"pid and education","College grad+ Democrats","116","1980","61.2","38.1","49.7","61.5"
"pid and education","College grad+ Democrats","162","1984","69.6","37.8","53.6","65.9"
"pid and education","College grad+ Democrats","164","1988","74.6","42.6","58.6","66"
"pid and education","College grad+ Democrats","252","1992","68.1","32.6","50.3","67.7"
"pid and education","College grad+ Democrats","219","1996","75.2","42.6","58.8","66.2"
"pid and education","College grad+ Democrats","245","2000","72.8","40.2","56.4","66.3"
"pid and education","College grad+ Democrats","181","2004","69.5","25.1","47.1","72.3"
"pid and education","College grad+ Democrats","273","2008","77.5","37.6","57.5","70"
"pid and education","College grad+ Democrats","273","2012","79.7","28.7","54.2","75.5"
"pid and education","College grad+ Democrats","810","2016","69.8","7.9","38.8","80.9"
"pid and education","College grad+ Democrats","1952","2020","75","5.5","40.1","84.6"
"pid and education","College grad+ Democrats","1408","2024","78","5.6","41.7","86.1"
"pid and education","Non-college Independents","119","1968","54.5","64.9","59.8","44.9"
"pid and education","Non-college Independents","344","1972","48.5","65.2","56.7","41.8"
"pid and education","Non-college Independents","277","1976","60.2","62.7","61.3","48.9"
"pid and education","Non-college Independents","204","1980","52","56.1","53.8","47.7"
"pid and education","Non-college Independents","232","1984","53.2","64.2","58.8","44.5"
